!version: $Revision: 1.48 $
!date: $Date: 2006/07/27 13:53:31 $
!Mapping of GO function_ontology "enzymes" to Enzyme Commission Numbers.
!original mapping by Michael Ashburner, Cambridge.
!This version parsed from function.ontology on 2006/07/14 16:07:33
!by Daniel Barrell, EBI, Hinxton
!
EC:1 > GO:oxidoreductase activity ; GO:0016491
EC:1.1 > GO:oxidoreductase activity, acting on CH-OH group of donors ; GO:0016614
EC:1.1.1 > GO:oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor ; GO:0016616
EC:1.1.1.1 > GO:alcohol dehydrogenase activity ; GO:0004022
EC:1.1.1.10 > GO:L-xylulose reductase activity ; GO:0050038
EC:1.1.1.100 > GO:3-oxoacyl-[acyl-carrier protein] reductase activity ; GO:0004316
EC:1.1.1.101 > GO:acylglycerone-phosphate reductase activity ; GO:0000140
EC:1.1.1.102 > GO:3-dehydrosphinganine reductase activity ; GO:0047560
EC:1.1.1.103 > GO:L-threonine 3-dehydrogenase activity ; GO:0008743
EC:1.1.1.104 > GO:4-oxoproline reductase activity ; GO:0016617
EC:1.1.1.105 > GO:retinol dehydrogenase activity ; GO:0004745
EC:1.1.1.106 > GO:pantoate 4-dehydrogenase activity ; GO:0050166
EC:1.1.1.107 > GO:pyridoxal 4-dehydrogenase activity ; GO:0050235
EC:1.1.1.108 > GO:carnitine 3-dehydrogenase activity ; GO:0047728
EC:1.1.1.11 > GO:D-arabinitol 4-dehydrogenase activity ; GO:0047813
EC:1.1.1.110 > GO:indolelactate dehydrogenase activity ; GO:0047722
EC:1.1.1.111 > GO:3-(imidazol-5-yl)lactate dehydrogenase activity ; GO:0019155
EC:1.1.1.112 > GO:indanol dehydrogenase activity ; GO:0047718
EC:1.1.1.113 > GO:L-xylose 1-dehydrogenase activity ; GO:0050037
EC:1.1.1.114 > GO:apiose 1-reductase activity ; GO:0047674
EC:1.1.1.115 > GO:ribose 1-dehydrogenase (NADP+) activity ; GO:0050259
EC:1.1.1.116 > GO:D-arabinose 1-dehydrogenase activity ; GO:0047816
EC:1.1.1.117 > GO:D-arabinose 1-dehydrogenase [NAD(P)+] activity ; GO:0045290
