,Wiki name,Wiki URL,Vertical,Primary image,Description,Secondary image 1,Secondary image 2,Secondary image 3,Secondary image 4,Secondary image 5
,Elder Scrolls Wiki,http://de.elderscrolls.wikia.com/,Video Games,http://images2.wikia.nocookie.net/joeplayground/images/1/10/ElderScrolls320.jpg,"Das Wiki rund um die Computerspiele Skyrim, Oblivion, Morrowind, Daggerfall und Arena, die von Bethesda Softworks entwickelt wurden. Hier findest du alle wissenswerte Informationen zu den Quests, Waffen, Gegenständen und Gegnern.",http://images1.wikia.nocookie.net/joeplayground/images/3/3b/ElderScrolls2.jpg,http://images1.wikia.nocookie.net/joeplayground/images/0/0f/ElderScrolls3.jpg,,,
,How I Met Your Mother Wiki,http://de.how-i-met-your-mother.wikia.com/,Entertainment,http://images1.wikia.nocookie.net/joeplayground/images/b/b5/HIMYM320.jpg,"Im How I Met Your Mother-Wiki findest du alle wichtigen und unwichtigen Infos zur Serie. Erfahre auf über 700 Seiten alles über Charaktere, Episoden, sowie Trivia und spekuliere gemeinsam mit anderen Fans über die zukünftige Mutter von Teds Kindern. ",http://images2.wikia.nocookie.net/joeplayground/images/c/c3/HIMYM2.jpg,,,,
,Fallout Wiki,http://de.fallout.wikia.com/,Video Games,http://images2.wikia.nocookie.net/joeplayground/images/9/9b/Fallout320.jpg,"Das Fallout-Wiki ist dein deutschsprachiges Wiki über die Spiele der Fallout-Serie, die Welt von Fallout und seine Schöpfer. Wir sammeln alle interessanten Daten über Charaktere, Kreaturen, Fraktionen, Orte, Gegenstände und vieles mehr. Helft uns dabei!",http://images2.wikia.nocookie.net/__cb20120622104023/joeplayground/images/4/49/Fallout2.jpg,,,,
,Star Wars: The Old Republic Wiki,http://de.swtor.wikia.com/,Video Games,http://images4.wikia.nocookie.net/joeplayground/images/b/b2/SWTOR320.jpg,"Star Wars: The Old Republic ist ein Massive Multiplayer Online Rollenspiel (MMORPG), welches von BioWare entwickelt wurde. Bei uns findest du nützliche Spieletipps- und tricks, Infos zur Galaxis mit ihren Bewohnern und vieles mehr, über das du dich mit unserer Community austauschen kannst.",http://images1.wikia.nocookie.net/joeplayground/images/a/ac/Swtor2.jpg,,,,
,Scrubs Wiki,http://de.scrubs.wikia.com/,Entertainment,http://images1.wikia.nocookie.net/__cb20120530212760/joeplayground/images/4/49/Scrubs320.jpg,"Schau im Scrubs-Wiki vorbei und erlebe noch ein mal, was es in neun Staffeln Scrubs zu sehen gab. Hier erfährst du, was du verpasst oder übersehen hast und welche Folge als nächstes im deutschen Fernsehen läuft. Wir archivieren, spekulieren, diskutieren und freuen uns, wenn du mitmachst!",http://images1.wikia.nocookie.net/joeplayground/images/d/d2/Scrubs2.jpg,,,,
,Glee Wiki,http://de.glee.wikia.com/,Entertainment,http://images1.wikia.nocookie.net/joeplayground/images/3/3b/Glee320.jpg,"Im Glee-Wiki findest du alles Wissenswerte über die New Directions und was dazu gehört. Höre noch einmal alle deine Lieblingssongs aus Serie, lies nach, was Rachel und Co. in den einzelnen Folgen erleben und diskutiere mit dem Rest der Community über alles, was du noch los werden willst. ",http://images1.wikia.nocookie.net/joeplayground/images/5/57/Glee2.jpg,,,,
,Mario Wiki,http://de.mario.wikia.com/,Video Games,http://images4.wikia.nocookie.net/mario/de/images/7/7c/Mario.jpg,"Mit über 2500 Seiten entwickelt sich das MarioWiki zur größten interaktiven deutschen Datenbank für alles, was mit Super Mario zu tun hat. Hier findest du eine riesige Auswahl an Tipps und Informationen, die das Spielen noch interessanter und spannender machen.",http://images1.wikia.nocookie.net/joeplayground/images/b/be/Mario2.jpg,,,,
,Herr der Ringe Wiki,http://de.lotr.wikia.com/,Entertainment,http://images3.wikia.nocookie.net/joeplayground/images/a/af/LOTR320.jpg,"Das Der Herr der Ringe-Wiki beschäftigt sich mit dem Tolkien-Universum und all seinen fantastischen Bestandteilen. Du findest hier alles über die verschiedenen Orte, Rassen, Sprachen und die Charaktere, die du bei ihren Abenteuern begleitet hast. ",http://images1.wikia.nocookie.net/joeplayground/images/8/8e/LotR2.jpg,,,,
,Assassin's Creed Wiki,http://de.assassinscreed.wikia.com/,Video Games,http://images1.wikia.nocookie.net/joeplayground/images/3/38/AssassinsCreed320.jpg,"Das Assassins Creed-Wiki widmet sich sämtlichen Abenteuern der Assassinen Altaïr Ibn-La'Ahad, Ezio Auditore und Desmond Miles. Suchst du Komplettlösungen, geheime Orte und Items, oder willst du die Hintergrundgeschichten aller Charaktere detailliert nachlesen? Dann bist du in diesem Wiki genau richtig. ",http://images1.wikia.nocookie.net/joeplayground/images/8/88/AssassinsCreed2.jpg,,,,
,Halopedia,http://de.halo.wikia.com/,Video Games,http://images1.wikia.nocookie.net/joeplayground/images/6/65/Halo320.jpg,"Willkommen bei Halopedia, der Enzyklopädie über Halo. Du findest hier umfangreiche Informationen über die verschiedensten Themenfelder der Halo-Spieleserie und allem was dazu gehört. Erfahre Interessantes über die einzelnen Spiele, Fraktionen, Spezies und vieles mehr. ",http://images2.wikia.nocookie.net/joeplayground/images/5/55/Halo2.jpg,,,,
,Warrior Cats Wiki,http://de.warrior-cats.wikia.com/,Entertainment,http://images1.wikia.nocookie.net/joeplayground/images/9/97/WarriorCats.jpg,"Willkommen auf dem Warrior Cats-Wiki, der Seite mit allen Informationen rund um die Warrior Cats-Welt der Buchserie Warrior Cats vom Autorinnenquartett um Erin Hunter. Hier sammeln wir alles Wissenwerte zu den verschiedenen Büchern, sowie den Katzen und zugehörigen Clans. ",,,,,
,The Witcher Wiki,http://hexer.wikia.com/,Video Games,http://images2.wikia.nocookie.net/joeplayground/images/2/25/Witcher320.jpg,"Das The Witcher-Wiki beschäftigt sich mit den Kurzgeschichten und Romanen von Andrzej Sapkowski  und den darauf basierenden Spielen. Hier findest du alle nützlichen Infos zu Carakteren, Quests, Orten, Gegenständen und allem, was du sonst noch interessiert. ",http://images2.wikia.nocookie.net/joeplayground/images/9/93/TheWitcher2.jpg,,,,
