,Wiki name,URL,Vertical,Primary image,Description
,WikiDex,http://es.pokemon.wikia.com,Video Games,http://images.wikia.com/joeplayground/images/a/a0/ES_Pokemon_480.png,"WikiDex es la principal enciclopedia que existe sobre Pokémon en todo el mundo. Se trata de un proyecto cuya idea es recopilar toda la información existente sobre la franquicia; desde información de los videojuegos y películas, hasta del anime, manga y juego de cartas coleccionables."
,Wiki Yu-Gi-Oh! en español,http://es.yugioh.wikia.com,Video Games,http://images.wikia.com/joeplayground/images/6/66/ES_Yu-Gi-Oh_480.png,"Wiki Yu-Gi-Oh! en español es un proyecto que intenta recopilar toda la información referente a esta franquicia de anime y manga japonés; y que también incluye juegos de cartas reales, videojuegos, juguetes y películas. No encontrarás una fuente de información más fiable y actualizada en español sobre esta saga."
,Grand Theft Encyclopedia,http://es.gta.wikia.com,Video Games,http://images.wikia.com/joeplayground/images/9/95/ES_GTA_480.png,La llamada Grand Theft Encyclopedia es la mayor base de datos sobre la saga Grand Theft Auto en español. El proyecto recopila la información sobre este título de Rockstar Games que revolucionó el género sandbox; incluyendo desde los primeros clásicos hasta el esperado Grand Theft Auto V.
,Dofus,http://es.dofuswiki.wikia.com,Video Games,http://images.wikia.com/joeplayground/images/1/1f/ES_Dofus_480.png,"Dofus Wiki es una enciclopedia dedicada al juego Dofus creado por Ankama Games. El proyecto recopila información sobre el popular juego MMORPG táctico; basado en un universo colorido, divertido y encantador; y que ha evolucionado tanto desde su creación."
,Halopedia,http://es.halo.wikia.com,Video Games,http://images.wikia.com/joeplayground/images/c/c9/ES_Halo_480.png,"La Halopedia es la enciclopedia dedicada a la saga de videojuegos Halo, exclusiva para la consola de Microsoft. Este proyecto trata de recopilar toda la información referente al universo Halo; desde la trilogía original protagonizada por el Jefe Maestro, hasta la nueva Trilogía del Reclamador, iniciada por Halo 4."
,Tibia Wiki,http://es.tibia.wikia.com,Video Games,http://images.wikia.com/joeplayground/images/0/0c/ES_Tibia_480.png,"Este wiki está dedicado al videojuego Tibia, creado por CipSoft. El proyecto recopila información sobre este popular MMORPG ambientado en el mundo medieval de Tibia; donde a través de héroes clásicos como caballeros y magos se interactúa con centenares de miles de personas de todo el mundo."
,Mortal Kombat,http://es.mortalkombat.wikia.com,Video Games,http://images.wikia.com/joeplayground/images/3/3a/ES_Mortal_Kombat_480.png,"Mortal Kombat Wiki es la base de datos perfecta sobre la exitosa serie de videojuegos desarrollada por Midway Games basada en las peleas más sangrientas que nadie pueda imaginar. El proyecto recopila información sobre esta franquicia que incluye conocidos videojuegos, y sus películas y series derivados."
,God of War Wiki,http://es.godofwar.wikia.com,Video Games,http://images.wikia.com/joeplayground/images/b/b4/ES_God_of_War_480.png,"God of War Wiki es uno de esos sitios que Kratos destruiría sin pensarlo. Con el odio que tiene el espartano a los dioses no sería normal que pensase que este wiki es obra de los dioses y hay que destruirlo. ""¿Allí es donde habita todo el conocimiento del mundo? ¡Hay que destruirlo, pagarán por lo que hicieron!"""
,SimsPedia,http://es.sims.wikia.com,Video Games,http://images.wikia.com/joeplayground/images/7/70/ES_Sims_480.png,La SimsPedia es el lugar perfecto para encontrar información sobre Los Sims. El proyecto se centra en recopilar información sobre la famosa saga desarrollada originalmente por Maxis; cuya primera entrega fue éxito de ventas y revolucionaria de la simulación. ¿Sabías que este videojuego iba a ser en realidad un programa de diseño arquitectónico?
,The Legend of Zelda Wiki,http://es.zelda.wikia.com,Video Games,http://images.wikia.com/joeplayground/images/c/c5/ES_Zelda_480.png,"Hey, listen! The Legend of Zelda Wiki es el sitio perfecto en español para no perderte en la historia de esta legendaria saga de videojuegos de fantasía, acción y aventura desarrollada por Nintendo. Probablemente pienses que somos unos blasfemos, pero si Link hubiese tenido acceso a esta enciclopedia, ¡no hubiese necesitado a Navi!"
