,Wiki name,Wiki URL,Vertical,Primary image,Description,Secondary image 1,Secondary image 2,Secondary image 3,Secondary image 4,Secondary image 5,Skin,Mainpage,Logo
,Glee,http://fr.glee.wikia.com,Entertainment,http://images.wikia.com/glee/images/f/f0/Wikia-Visualization-Main.png,Ce wiki traite de la série télévisée Glee qui met en scène les membres atypiques de la chorale d'un lycée.,,,,,,x,x,
,Nick Cutter,http://fr.nickcutter.wikia.com,Entertainment,http://images.wikia.com/joeplayground/images/b/b3/Primeval320.PNG,"Ce wiki est consacré à la série télévisée Primeval, connue sous le titre français Nick Cutter et les Portes du temps.",,,,,,x,x,
,NCIS,http://fr.ncis.wikia.com/,Entertainment,http://images.wikia.com/joeplayground/images/b/b3/NaviCis320.PNG,"Ce wiki a pour objectif de rassembler les informations sur les séries JAG, NCIS et NCIS: Los Angeles.",,,,,,x,x,
,FBI : Duo très spécial,http://fr.whitecollar.wikia.com,Entertainment,http://images.wikia.com/whitecollar/images/f/f0/Wikia-Visualization-Main.png,"Ce wiki a pour but de rassembler les informations sur la série télévisée White Collar, connue sous le titre français FBI: Duo très spécial.",,,,,,x,x,
,Castle,http://fr.castle.wikia.com,Entertainment,http://images.wikia.com/joeplayground/images/0/00/Castle320.PNG,Ce wiki est dédié à la série télévisée Castle.,,,,,,x,x,
,One Piece,http://fr.onepiece.wikia.com,Entertainment,http://images.wikia.com/onepiece/images/f/f0/Wikia-Visualization-Main.png,Ce wiki traite du manga et de la série animée One Piece.,,,,,,x,x,
,Naruto,http://fr.naruto.wikia.com,Entertainment,http://images.wikia.com/naruto/images/f/f0/Wikia-Visualization-Main.png,Ce wiki traite de tout ce qui concerne l'univers de Naruto.,,,,,,x,x,
,Vampire Diaries,http://fr.vampirediaries.wikia.com,Entertainment,http://images.wikia.com/vampirediaries/images/f/f0/Wikia-Visualization-Main.png,Ce wiki est consacré à la série télévisée Vampire Diaries.,,,,,,x,x,
,Dragon Ball,http://fr.dragonball.wikia.com/,Entertainment,http://images.wikia.com/dragonball/images/f/f0/Wikia-Visualization-Main.png,Ce wiki traite de la série animée et des mangas sur l'univers Dragon Ball.,,,,,,x,,
,Narnia,http://fr.narnia.wikia.com,Entertainment,http://images.wikia.com/joeplayground/images/a/a2/Narnia320.PNG,Ce wiki est consacré à la série de livres et de films qui mettent en scène le monde de Narnia.,,,,,,x,x,
,Code Lyoko,http://fr.codelyoko.wikia.com,Entertainment,http://images.wikia.com/joeplayground/images/f/f7/CodeLyoko320.PNG,Ce wiki traite de la série télévisée Code Lyoko.,,,,,,,,
