,Wiki Name,Wiki URL,Vertical,Primary Image,Description
,ガンダムペディア,ja.gundam.wikia.com,Entertainment ,http://becodes.lomo.jp/wp-content/uploads/2013/11/gundam05y.jpg,ガンダムついて知りたいならこのコミュニティーへ。ガンダムシリーズ、関連作品、最新ニュースはここでチェック！
,カービィウィキ,ja.kirby.wikia.com,Video Games,http://images2.fanpop.com/images/photos/5500000/Kirby-Wallpaper-kirby-5558995-1680-1050.jpg,カービィ事典ともいえるカービィウィキへようこそ。ここに行けばカービィについてどんな情報も手に入れられます。
,ウーキーペディア,ja.starwars.wikia.com,Entertainment ,http://static4.wikia.nocookie.net/__cb20090822094257/starwars/ja/images/e/e0/Yoda_SWSB.jpg,ウーキーペディアへようこそ。スターウォーズの熱狂的ファンの方も、これからファンになりたいという方もここで情報を手に入れられます。
,ギルドウォーズ2 日本語版ウィキ,ja.gw2.wikia.com,Video Games,http://blog.weflyspitfires.com/wp-content/uploads/2012/12/guildwars2-161.jpg,ギルドウォーズ2 日本語版ウィキでは簡単なゲームガイドなどギルドウォーズ2についてなら何でも知る事ができます。
,エバークエスト2ウィキ,ja.eq2.wikia.com,Video Games,http://gamesbackgrounds.com/wallpapers/everquest_2_wallpaper-1920x1200.jpg,エバークエスト2 日本語版 コミュニティーです。エバークエスト2についての知りたいことがあればここをチェック。
,メモリーアルファ日本語版,ja.memory-alpha.org,Entertainment ,http://4.bp.blogspot.com/_EIThAsM9pTM/S9ZKvGSLZ6I/AAAAAAAAAX8/ilWxR7efO4s/s1600/MemoryAlpha01.jpg,メモリーアルファ日本語版はスタートレックに関するあらゆる情報を網羅した百科事典サイトを作成する共同プロジェクトです。本国アメリカでは2003年11月にプロジェクトがスタートし、この日本においても2008年1月にプロジェクトがスタートしました。
,ワンピースウィキ,ja.onepiece.wikia.com,Entertainment ,http://2.bp.blogspot.com/-FM6qOVgsRGo/TiMXdWDA_TI/AAAAAAAAAD8/iBXi8fXLR2E/s1600/%25E3%2583%25AF%25E3%2583%25B3%25E3%2583%2594%25E3%2583%25BC%25E3%2582%25B9%25EF%25BC%2592.jpg,大人気漫画、ワンピースウィキへようこそ。ワンピースの情報ならここで手に入れられます。
,エルダースクロールウィキ,ja.elderscrolls.wikia.com,Video Games,http://www.gamingcypher.com/wp-content/uploads/2013/08/The-Elder-Scrolls-Online.jpeg,エルダースクロールウィキではゲーム情報、関連情報が載っています。情報を交換、手に入れてゲームに役立てて下さい。
,ガンダムリバイバルウィキ,ja.revival.wikia.com,Entertainment ,http://livedoor.blogimg.jp/jpnculture/imgs/8/a/8aa73ba5.jpg,このWikiは２ちゃんねるの新シャア板で議論されていた「機動戦士GUNDAM SEED DESTINY」の続編を想定したオリジナル企画「機動戦士GUNDAM SEED―Revival―」のまとめWikiです。
,マイリトルポニーウィキ,ja.mlp.wikia.com,Entertainment ,http://feminspire.com/wp-content/uploads/2013/05/My-Little-Pony-Friendship-is-Magic-my-little-pony-friendship-is-magic-32310685-1600-1000.jpg,マイリトルポニーファンのみなさま!　マイリトルポニーについて知りたいならここで！　
,ファイナルファンタジーウィキ,ja.finalfantasy.wikia.com,Video Games,http://kakaku.com/images/article/game/report/0810/tgs2008/se0405.jpg,ファイナルファンタジーシリーズの全てがここに。シリーズ全てに関する情報はここで入手できます。
,ロードオブザリングオンライン,ja.lotro.wikia.com,Video Games,http://blogs-images.forbes.com/erikkain/files/2012/07/Road-to-Rohan-LOTRO.png,ロードオブザリングオンラインではゲームガイドを始め、キャラクター、アイテム、クエストなどの細かい情報を載せています。是非チェックしてプレイに役立てて下さい。
,World of Warcraft ウィキ ,ja.wow.wikia.com,Video Games,http://www.desktopas.com/files/2013/10/Best-Top-Desktop-Wallpaper-World-Of-Warcraft-Wallpapers-Hd-28-1-1600x1000.jpg,World of Warcraft ウィキ ではゲームガイドを始め、キャラクター、アイテム、クエストなどの細かい情報を載せています。是非チェックしてプレイに役立てて下さい。
,聖闘士星矢ウィキ,ja.saintseiya.wikia.com,Entertainment ,http://livedoor.blogimg.jp/drazuli/imgs/3/c/3cfb62e5.jpg,聖闘士星矢ファンの皆様、ここでは聖闘士星矢に関する情報、ニュースを載せています。
,アニマンガポータル,ja.animanga.wikia.com,Entertainment ,http://dentonlibrary.files.wordpress.com/2009/07/anime.jpg,アニメ・漫画に関することならこのコミュニティーへ。アニメ・漫画の全てがここにあります。
,グランドセフトオートウィキ,ja.gta.wikia.com,Video Games,http://www.khaoticrage.com/wp-content/uploads/2013/10/Grand-Theft-Auto-V-Characters.jpg,グランドセフトオートシリーズについてのコミュニティーへようこそ。ゲーム情報、キャラクター、ロケーションなど、どんなことでも知る事ができます。
,ゲーム情報ポータル,ja.game.wikia.com,Video Games,http://www.inc.com/uploaded_files/image/video-games-pop_3918.jpg,ゲームに関することならこのコミュニティーへ。ゲームの全てがここにあります。
,鋼の錬金術師ウィキ,ja.fma.wikia.com,Entertainment ,http://img2.blogs.yahoo.co.jp/ybi/1/57/e8/rara_to_love_ru/folder/898465/img_898465_16837807_0?1251377926,鋼の錬金術師ウィキへようこそ! 　鋼の錬金術師の情報ならここで手に入れられます。
,アサシンクリードウィキ,ja.assassinscreed.wikia.com,Video Games,http://i1-news.softpedia-static.com/images/news2/Assassin-s-Creed-Movie-Script-Gets-Rewritten-by-Wolverine-Screenwriter-376038-2.jpg?1376646769,アサシンクリードウィキではゲーム情報、関連情報が載っています。情報を交換、手に入れてゲームに役立てて下さい。
,Ogame ウィキ,ja.ogame.wikia.com,Video Games,http://pds2.exblog.jp/pds/1/200904/16/91/f0208991_22583735.jpg,OGame ウィキは、OGameの情報をユーザーが編集できる百科事典です。
,美少女戦士セーラームーンウィキ,ja.sailormoon.wikia.com,Entertainment ,http://blog-imgs-46.fc2.com/i/z/u/izumiyama/16498449669.jpg,美少女戦士セーラームーンウィキへようこそ！　セーラームーン関する情報、番組、作品はここでチェック！
,プリキュアウィキ,ja.prettycure.wikia.com,Entertainment ,http://stat.ameba.jp/user_images/92/51/10133344261.jpg,大人気アニメプリキュアウィキへようこそ！　プリキュアに関する情報、番組、作品はここでチェック！
,蒼の英雄 バーズ オブ スティールウィキ,ja.birdsofsteel.wikia.com,Video Games,http://livedoor.blogimg.jp/widappy/imgs/8/9/89e1b10d.jpg,蒼の英雄 バーズ オブ スティールウィキで全てを知ることができます。
,ドラゴンクエストウィキ,ja.dragonquest.wikia.com,Video Games,http://www.gametrailers.com/side-mission/files/2012/04/dragon_quest_x.jpg,ドラゴンクエストの熱狂的ファンの方、必見です。そうでない方ももちろん楽しめるコミュニティーです。
,フォールアウトウィキ,ja.fallout.wikia.com,Video Games,http://sabbathian.files.wordpress.com/2011/10/fallout-new-vegas-wallpaper-2.jpg,ゲームシリーズ・フォールアウトウィキへようこそ。フォールアウトに関する情報が全てここに詰まっています。
, 女神転生ウィキ,ja.megamitensei.wikia.com,Video Games,http://www.game-hiroba.com/photo/g00029-1.jpg,女神転生ウィキへようこそ！　女神転生に関する情報、番組、作品はここでチェック！
,リーグオブレジェンドウィキ,ja.leagueoflegends.wikia.com,Video Games,http://www.gmwall.com/wp-content/uploads/2013/10/league_of_legends_wallpaper_by_berxamet-d5ss1el.jpg,リーグオブレジェンドウィキ ではゲームガイドを始め、キャラクター、アイテム、クエストなどの細かい情報を載せています。是非チェックしてプレイに役立てて下さい。
,町田ウィキ,ja.machida.wikia.com,Lifestyle,http://www.mrfujii.jp/images/walk/nature/sakai/2419.jpg,町田市にお住まいの皆様もそうでない方も町田市のことをよりいっそう知る事ができるコミュニティーです。
,ビーバップウィキ,ja.bebop.wikia.com,Entertainment,http://fc08.deviantart.net/fs70/i/2011/172/5/e/be_bop_high_school_2_by_frow7-d3ji6ua.png,ビーバップウィキへようこそ! 　ビーバップハイスクールの情報ならここで手に入れられます。
,ハッピーストリートウィキ,ja.happystreet.wikia.com,Video Games,http://i.imgur.com/azSevW3.jpg,ハッピーストリートウィキではゲームアプリ、ゲーム、キャラクターについて細かい情報を手に入れることができます。
,任天堂3DSwiki,http://ja.nintendo3ds.wikia.com/,Video Games,http://www.kotaku.jp/photo/110811_nintendo_3ds.jpg,ニンテンドー3DSウィキでは本体概要から3DSの開発者まで、ニンテンドー3DSの事をすべてまとめてあります。
