,Wiki Name,Wiki URL,Vertical,Primary image,Description
,Simspedia,http://pl.sims.wikia.com/,Video Games,http://images2.wikia.nocookie.net/joeplayground/images/3/38/Plsims.jpg,"Simspedia jest encyklopedią o wszystkim, co związane z serią The Sims. Istnieje od 26 kwietnia 2006 roku i od tego czasu powstało na niej ponad 2,5 tysiąca artykułów, które bezustannie są uzupełniane i rozbudowywane. Jeśli szukasz informacji o Simach, trafiłeś w dobre miejsce!"
,Grand Theft Auto Wiki,http://pl.gta.wikia.com/,Video Games,http://images4.wikia.nocookie.net/joeplayground/images/a/a0/Plgta.jpg,"Grand Theft Auto Wiki to ogromna baza danych o serii gier Grand Theft Auto wydawanych przez Rockstar Games od roku 1997. Wiki poświęcona jest wszystkiemu co związane serią - od dokładnych opisów gier i bohaterów, po informacje dotyczące broni, pojazdów, miejsc czy misji dostępnych w grach."
,GothicPedia,http://pl.gothic.wikia.com/,Video Games,http://images3.wikia.nocookie.net/joeplayground/images/d/d2/Plgothic.jpg,"Gothicpedia to społeczność zrzeszona wokół gier z serii Gothic, która kompletuje wszystkie dostępne informacje na temat tych kultowych gier RPG. Jeśli jesteś fanem serii, znajdziesz tu wszystko, co kiedykolwiek chciałeś o niej wiedzieć.. i więcej! "
,Wiki Słodki Flirt,http://pl.slodkiflirt.wikia.com/,Video Games,http://images4.wikia.nocookie.net/joeplayground/images/b/bc/Plslodkiflirt.jpg,"Słodki Flirt to pierwsza wirtualna gra, w której umawiasz się na randki! Wiki Słodki Flirt to niezbędnik dla wszystkich, którzy chcą dowiedzieć się o niej więcej. Zawiera rozbudowane opisy odcinków i postaci, a przede wszystkich fenomenalną, pomocną społeczność zrzeszającą fanów gry."
,Don't Starve Wiki ,http://pl.dontstarve.wikia.com/,Video Games,http://images2.wikia.nocookie.net/joeplayground/images/6/69/Pldontstarve.jpg,"Wiki przeznaczona jest dla czytelników pragnących dowiedzieć się wszystkiego o hicie studia Klei Entertainment - Don't Starve. Katalogujemy wszystkie informacje związane z grą, w tym opisy dostępnych przedmiotów i zasobów, szczegółowe informacje na temat występujących w grze stworzeń jak i przepisy na potrawy!"
,Wiedźmińska Wiki,http://wiedzmin.wikia.com/,Video Games,http://images4.wikia.nocookie.net/joeplayground/images/1/1a/Plwitcher.jpg,"Wiedźmińska Wiki to wiki, której celem jest zebranie informacji na temat świata Wiedźmina. Obejmuje przede wszystkim dzieła stworzone przez samego Andrzeja Sapkowskiego, ale staramy się brać pod uwagę również inne dzieła osadzone w tym świecie. Zachęcamy wszystkich do przyłączenia się do nas i pomocy w tworzeniu wiki. Każdy może stworzyć nową stronę i edytować. "
,The Binding of Isaac Wiki ,http://pl.bindingofisaac.wikia.com/,Video Games,http://images3.wikia.nocookie.net/joeplayground/images/d/d4/Plbindingofisaac.jpg,"The Binding of Isaac Wiki opisuje wszystkie przedmioty, pomieszczenia, potwory, bossów, sekrety, światy, osiągnięcia i postacie występujące w grze Edmunda McMillena i Floriana Himsla, The Binding of Isaac."
,Krypta,http://pl.fallout.wikia.com/,Video Games,http://images1.wikia.nocookie.net/joeplayground/images/d/d1/Plfallout.jpg,"Krypta to wiki o grach z Serii Fallout, m.in Fallout, Fallout 2 i Fallout 3 i encyklopedia świata Fallouta, którą każdy może edytować. Staramy się stworzyć najbardziej kompletną bazę danych o postapokaliptycznym świecie tej kultowej serii."
,Elder Scrolls Wiki,http://pl.elderscrolls.wikia.com/,Video Games,http://images2.wikia.nocookie.net/joeplayground/images/4/49/Plelderscrolls.jpg,"Elder Scrolls Wiki to grubo ponad tysiąc artykułów zawierających informacje na temat serii gier Elder Scrolls i ich rozszerzeń. Wszystko Od ""Areny"" do ""Skyrim"", jak i nowości o zbliżającym się MMORPG z serii - ""The Elder Scrolls: Online"". Wszystko czego potrzebujesz aby uprzyjemnić sobie rozgrywkę znajdziesz właśnie tutaj. "
,League of Legends Wiki,http://pl.leagueoflegends.wikia.com/,Video Games,http://images1.wikia.nocookie.net/joeplayground/images/b/ba/Plleagueoflegends.jpg,"Jeśli jesteś zagorzałym fanem League of Legends i szukałeś strony, na której znajdziesz informacje o swojej ulubionej grze, poszukiwania możesz uznać za zakończone. League of Legends Wiki zawiera wszystko co powinieneś wiedzieć, aby udoskonalić swój styl gry."
,Mass Effect PL Wiki,http://pl.masseffect.wikia.com/,Video Games,http://images3.wikia.nocookie.net/joeplayground/images/c/c8/Plmasseffect.jpg,"Jedno z najbardziej kompletnych, polskojęzycznych źródeł wiedzy o Mass Effect, Mass Effect PL Wiki zawiera wszystkie niezbędne informacje o tej epickiej trylogii gier, które będziesz chciał pozyskać, jeśli zamierasz wkroczyć do uniwersum Mass Effect. "
,Assassin's Creed Wiki,http://pl.assassinscreed.wikia.com/,Video Games,http://images3.wikia.nocookie.net/joeplayground/images/3/30/Plassassinscreed.jpg,"Assassin's Creed Wiki to bezustannie udoskonalana baza danych o serii Assassin's Creed. Zawiera wszystko co chcesz wiedzieć, począwszy od szczegółowych opisów gier a skończywszy na niuansach historii w nich opowiedzianej."
,Call of Duty Wiki,http://pl.callofduty.wikia.com/,Video Games,http://images4.wikia.nocookie.net/joeplayground/images/8/80/Plcallofduty.jpg,"Call of Duty Wiki to Twoja baza danych na temat wszystkiego co związane z serią Call of Duty. Od map w Black Ops do pojazdów w Call of Duty 2 - u nas znajdziesz to, czego szukasz. Zawsze staramy się uzupełniać i ulepszać naszą wiki, dlatego zapraszamy wszystkich do odwiedzin i edycji!"
,Warframe Wiki,http://pl.warframe.wikia.com/,Video Games,http://images2.wikia.nocookie.net/joeplayground/images/f/fd/Plwarframe.jpg,"Warframe Wiki opisuje wydaną przez Digital Extremes grę Warframe. Warframe to kooperacyjny(CO-OP) FPS osadzony w realiach science-fiction. Odwiedź układ słoneczny przyszłości, w którym rasa zwana Tenno próbuje odeprzeć inwazję Grineer i zapewnić sobie przetrwanie. "
,Wiki Spore,http://pl.spore.wikia.com/,Video Games,http://images2.wikia.nocookie.net/joeplayground/images/5/5a/Plspore.jpg,"Wiki Spore jest wolną encyklopedią o grach Spore, Darkspore i pochodnych. Dowiedz się wszystkiego o drodze od komórki do podboju kosmosu w fenomenalnej grze Willa Wrighta i pomóż społeczności edytorów rozbudować zawartość wiki!"
,Patapedia,http://pl.pata.wikia.com/,Video Games,http://images3.wikia.nocookie.net/joeplayground/images/f/f4/Plpata.jpg,"Patapedia to wiki poświęcona serii gier RTS z elementami rytmicznymi ""Patapon"". Gracz wciela się w dowódcę armii jednookich stworzeń walczących z wrogim plemieniem. Na wiki znajdziesz wszystkie informacje dotyczące Pataponów i ich wędrówce w kierunku Końca Świata!"
,Sonic Wiki,http://pl.sonic.wikia.com/,Video Games,http://images3.wikia.nocookie.net/joeplayground/images/d/d5/Plsonic.jpg,"Sonic Wiki to tworzona przez społeczność baza danych na temat gier, anime i innych rzeczy związanych z Soniciem. Dowiedz się więcej o bohaterach, antybohaterach, poziomach i przedmiotach występujących w świecie Sonica."
,RisenPedia,http://pl.risen.wikia.com/,Video Games,http://images4.wikia.nocookie.net/joeplayground/images/a/a1/Plrisen.jpg,"RisenPedia to baza danych o grach z serii Risen; pełnej pirackich motywów i morskich krajobrazów grze RPG, utworzonej przez Piranha Bytes i wydanej przez Deep Silver. Pierwsza część gry wydana została w roku 2009, a jej następca, Risen 2: Mroczne Wody, w kwietniu 2012."
