,Wiki name,Wiki URL,Vertical,Primary image,Description,Secondary image 1,Secondary image 2,Secondary image 3,Secondary image 4,Secondary image 5
,Zeldapedia,zelda.wikia.com,Video Games,http://images1.wikia.nocookie.net/joeplayground/images/1/13/Zelda320.jpg,"Zeldapedia's goal is to become the best source of information for Nintendo's Legend of Zelda series. Since its creation in 2005, Zeldapedia has grown into a large, community-based wiki and has been translated into several languages.",http://images2.wikia.nocookie.net/joeplayground/images/7/7c/Zelda2.jpg,http://images1.wikia.nocookie.net/joeplayground/images/c/cf/Zelda3.jpg,,,
,Yu-Gi-Oh! Wikia,yugioh.wikia.com,Entertainment,http://images3.wikia.nocookie.net/joeplayground/images/0/0a/Yugioh320.jpg,"Yu-Gi-Oh! Wikia is a database on Konami's Yu-Gi-Oh! franchise, containing information on the trading card game, official card game, deck types, board games, video games, animes, mangas, films and characters.",http://images2.wikia.nocookie.net/joeplayground/images/a/aa/Yugioh2.jpg,http://images1.wikia.nocookie.net/joeplayground/images/9/90/Yugioh3.jpg,,,
,WoWWiki,www.wowwiki.com,Video Games,http://images4.wikia.nocookie.net/joeplayground/images/7/77/WoWWiki320.jpg,"WoWWiki is a wiki dedicated to cataloging the Warcraft universe (with a focus, though not priority, on World of Warcraft); covering the entire Warcraft series of games, RPG reference books, strategy guides, novels, and comics.",http://images3.wikia.nocookie.net/joeplayground/images/8/89/WoWWiki2.jpg,http://images3.wikia.nocookie.net/joeplayground/images/7/7a/WoWWiki3.jpg,,,
,Wookieepedia,starwars.wikia.com,Entertainment,http://images1.wikia.nocookie.net/joeplayground/images/8/89/Wookieepedia320.jpg,"Wookieepedia is a wiki-based online encyclopedia that contains detailed information about the Star Wars universe, including movies, books, video games, characters, locations, technology, weapons, vehicles and everything in between.",http://images1.wikia.nocookie.net/joeplayground/images/9/94/Wookieepedia2.jpg,http://images3.wikia.nocookie.net/joeplayground/images/7/7f/Wookieepedia3.jpg,,,
,TibiaWiki,tibia.wikia.com,Video Games,http://images2.wikia.nocookie.net/joeplayground/images/e/e5/Tibia320.jpg,"With over 9,800 pages, at TibiaWiki you will find information for practically everything that exists in Tibia. Whether you are looking for text of a book, want to know how to obtain a certain item, or need hints for a quest, we've got you covered.",http://images4.wikia.nocookie.net/__cb20120508231214/joeplayground/images/a/ab/Tibia2.jpg,http://images2.wikia.nocookie.net/__cb20120508231214/joeplayground/images/b/b4/Tibia3.jpg,,,
,The Sims Wiki,sims.wikia.com,Video Games,http://images2.wikia.nocookie.net/joeplayground/images/1/1e/Sims320.jpg,"The Sims Wiki is devoted to The Sims series developed by Maxis and EA Games. With nearly 9,000 pages, it is an encyclopedia for The Sims that anyone can contribute to. Our mission is to provide all information on The Sims series of games. ",http://images4.wikia.nocookie.net/joeplayground/images/f/f3/Sims2.jpg,http://images2.wikia.nocookie.net/joeplayground/images/f/f7/Sims3.jpg,,,
,The Elder Scrolls Wiki,elderscrolls.wikia.com,Video Games,http://images2.wikia.nocookie.net/joeplayground/images/1/10/ElderScrolls320.jpg,"The Elder Scrolls Wiki consists of over 14,000 articles that document all aspects of every game in The Elder Scrolls series and their expansions. From Arena to Skyrim, everything you need to aid your gameplay can be found here.",http://images1.wikia.nocookie.net/joeplayground/images/3/3b/ElderScrolls2.jpg,http://images1.wikia.nocookie.net/joeplayground/images/0/0f/ElderScrolls3.jpg,,,
,Terraria Wiki,terraria.wikia.com,Video Games,http://images2.wikia.nocookie.net/joeplayground/images/c/c8/Terraria320.jpg,"Whether you're looking for information on monsters, items, weapons, NPCs or crafting recipes, if it exists in Terraria, you'll find it at Terraria Wiki. While you're there, be sure to check out the many helpful videos, as well as the fan art.",http://images3.wikia.nocookie.net/joeplayground/images/1/16/Terraria2.jpg,http://images3.wikia.nocookie.net/joeplayground/images/3/32/Terraria3.jpg,,,
,Star Wars: The Old Republic Wiki,swtor.wikia.com,Video Games,http://images4.wikia.nocookie.net/joeplayground/images/b/b2/SWTOR320.jpg,"The Old Republic Wiki is a fan-created database for Star Wars: The Old Republic including classes, species, locations, starships, creatures, equipment, guilds, and more. You can also find information on Knights of the Old Republic 1 and 2.",http://images4.wikia.nocookie.net/joeplayground/images/6/69/SWTOR2.jpg,http://images2.wikia.nocookie.net/joeplayground/images/0/0d/SWTOR3.jpg,,,
,Sonic News Network,sonic.wikia.com,Video Games,http://images4.wikia.nocookie.net/joeplayground/images/1/13/Sonic320.jpg,"The Sonic News Network is a collaborative encyclopedia for everything related to the Sonic the Hedgehog series, covering the games and their spin-offs, heroes, anti-heroes, villains, comics, shows, and more.",http://images3.wikia.nocookie.net/joeplayground/images/d/d9/Sonic2.jpg,http://images1.wikia.nocookie.net/joeplayground/images/4/49/Sonic3.jpg,,,
,Saints Row Wiki,saintsrow.wikia.com,Video Games,http://images2.wikia.nocookie.net/joeplayground/images/0/0c/SaintsRow320.jpg,"Saints Row Wiki is a community site about the Saints Row series, with mission guides, secrets, maps and more. Discover and contribute your knowledge about Saints Row, Saints Row 2 and Saints Row: The Third! ",http://images2.wikia.nocookie.net/joeplayground/images/c/c0/SaintsRow2.jpg,http://images4.wikia.nocookie.net/joeplayground/images/b/b0/SaintsRow3.jpg,,,
