wikiDomain,wikiId,wgWatchShowGeos
keiko-test.fandom.com,1081891,"US,NL,CA,AU,NZ"
starwars.fandom.com (mobile + desktop),147,"US,NL,CA,AU,NZ"
disney.fandom.com (mobile + desktop),374,"US,NL,CA,AU,NZ"
marvel.fandom.com (mobile + desktop),2233,"US,NL,CA,AU,NZ"
simpsons.fandom.com (mobile + desktop),673,"US,NL,CA,AU,NZ"
pixar.fandom.com (mobile + desktop),4097,"US,NL,CA,AU,NZ"
marvelcinematicuniverse.fandom.com,177996,"US,NL,CA,AU,NZ"
muppet.fandom.com,831,"US,NL,CA,AU,NZ"
hero.fandom.com,20780,"US,NL,CA,AU,NZ"
assassinscreed.fandom.com,3510,"US,NL,CA,AU,NZ"
unturned.fandom.com,922669,"US,NL,CA,AU,NZ"
thewalkingdeadtv.fandom.com,504037,"US,NL,CA,AU,NZ"
ark-survival-evolved.fandom.com,1198940,"US,NL,CA,AU,NZ"
charmed.fandom.com,977,"US,NL,CA,AU,NZ"
shield-hero.fandom.com,1048231,"US,NL,CA,AU,NZ"
phineasandferb.fandom.com,6390,"US,NL,CA,AU,NZ"
dishonored.fandom.com,331747,"US,NL,CA,AU,NZ"
boku-no-robloxremastered.fandom.com,1810738,"US,NL,CA,AU,NZ"
xmenmovies.fandom.com,212757,"US,NL,CA,AU,NZ"
mario.fandom.com,3473,"US,NL,CA,AU,NZ"
worldofcarsdrivein.fandom.com,285136,"US,NL,CA,AU,NZ"
gravityfalls.fandom.com,218059,"US,NL,CA,AU,NZ"
marvel-movies.fandom.com,6294,"US,NL,CA,AU,NZ"
assassinscreed.fandom.com,151346,"US,NL,CA,AU,NZ"
dynastytv.fandom.com,1635236,"US,NL,CA,AU,NZ"
dcmovies.fandom.com,9231,"US,NL,CA,AU,NZ"
monster.fandom.com,16748,"US,NL,CA,AU,NZ"
lionking.fandom.com,759,"US,NL,CA,AU,NZ"
re-monster.fandom.com,1000027,"US,NL,CA,AU,NZ"
hero-havoc.fandom.com,1908857,"US,NL,CA,AU,NZ"
archero.fandom.com,1992497,"US,NL,CA,AU,NZ"
csi.fandom.com,1872,"US,NL,CA,AU,NZ"
oxygen-not-included.fandom.com,1432589,"US,NL,CA,AU,NZ"
shadowhunterstv.fandom.com,1564664,"US,NL,CA,AU,NZ"
heartlandtv.fandom.com,327844,"US,NL,CA,AU,NZ"
ed.fandom.com,2889,"US,NL,CA,AU,NZ"
chicagomed.fandom.com,1148758,"US,NL,CA,AU,NZ"
thekingoffightersallstar.fandom.com,1790371,"US,NL,CA,AU,NZ"
barbiemovies.fandom.com,157124,"US,NL,CA,AU,NZ"
dishonored.fandom.com,626879,"US,NL,CA,AU,NZ"
pokemonreloaded.fandom.com,179733,"US,NL,CA,AU,NZ"
bluebloodstv.fandom.com,165480,"US,NL,CA,AU,NZ"
uncharted.fandom.com,5481,"US,NL,CA,AU,NZ"
thelionking.fandom.com,266286,"US,NL,CA,AU,NZ"
h2o.fandom.com,6482,"US,NL,CA,AU,NZ"
bloodstained.fandom.com,1182905,"US,NL,CA,AU,NZ"
hi5tv.fandom.com,393021,"US,NL,CA,AU,NZ"
phantasystar.fandom.com,3316,"US,NL,CA,AU,NZ"
mario.fandom.com,3665,"US,NL,CA,AU,NZ"
ark-survival-evolved.fandom.com,1186793,"US,NL,CA,AU,NZ"
jessie.fandom.com,234888,"US,NL,CA,AU,NZ"
101dalmatianstreet.fandom.com,1730133,"US,NL,CA,AU,NZ"
oc.fandom.com,1418,"US,NL,CA,AU,NZ"
clonewars.fandom.com,8774,"US,NL,CA,AU,NZ"
assassinscreed.fandom.com,161263,"US,NL,CA,AU,NZ"
mario.fandom.com,4284,"US,NL,CA,AU,NZ"
krunkerio.fandom.com,1754751,"US,NL,CA,AU,NZ"
cautious-hero.fandom.com,1943954,"US,NL,CA,AU,NZ"
assassinscreed.fandom.com,366313,"US,NL,CA,AU,NZ"
marvelanimated.fandom.com,6444,"US,NL,CA,AU,NZ"
fanmadepokemonglazed.fandom.com,933527,"US,NL,CA,AU,NZ"
overgeared.fandom.com,1655045,"US,NL,CA,AU,NZ"
girlmeetsworld.fandom.com,634723,"US,NL,CA,AU,NZ"
movies.fandom.com,559,"US,NL,CA,AU,NZ"
justified.fandom.com,98124,"US,NL,CA,AU,NZ"
muvluv.fandom.com,333821,"US,NL,CA,AU,NZ"
gravityfalls.fandom.com,744464,"US,NL,CA,AU,NZ"
mario.fandom.com,12111,"US,NL,CA,AU,NZ"
teamfourstar.fandom.com,68887,"US,NL,CA,AU,NZ"
oztv.fandom.com,37717,"US,NL,CA,AU,NZ"
wizardsofwaverlyplace.fandom.com,4095,"US,NL,CA,AU,NZ"
assassinscreed.fandom.com,13794,"US,NL,CA,AU,NZ"
suitelife.fandom.com,4093,"US,NL,CA,AU,NZ"
livandmaddie.fandom.com,705261,"US,NL,CA,AU,NZ"
love-island-itv.fandom.com,1746129,"US,NL,CA,AU,NZ"
primaltv.fandom.com,2031239,"US,NL,CA,AU,NZ"
clone-hero.fandom.com,1659785,"US,NL,CA,AU,NZ"
thegifted.fandom.com,1569983,"US,NL,CA,AU,NZ"
digitalmonster.fandom.com,789592,"US,NL,CA,AU,NZ"
nashville.fandom.com,537778,"US,NL,CA,AU,NZ"
starwarsrebels.fandom.com,752726,"US,NL,CA,AU,NZ"
enciclopediadelmisterio.fandom.com,560514,"US,NL,CA,AU,NZ"
hannahmontana.fandom.com,5035,"US,NL,CA,AU,NZ"
guitarhero.fandom.com,2962,"US,NL,CA,AU,NZ"
stexpanded.fandom.com,745,"US,NL,CA,AU,NZ"
fakemonfirered.fandom.com,1283050,"US,NL,CA,AU,NZ"
disney-junior-random-episodes.fandom.com,679798,"US,NL,CA,AU,NZ"
assassinscreed.fandom.com,6663,"US,NL,CA,AU,NZ"
goodluckcharlie.fandom.com,86328,"US,NL,CA,AU,NZ"
assassinscreed.fandom.com,11710,"US,NL,CA,AU,NZ"
dontgetfired.fandom.com,1251999,"US,NL,CA,AU,NZ"
versailles-tv.fandom.com,1520944,"US,NL,CA,AU,NZ"
monstersincmovies.fandom.com,747185,"US,NL,CA,AU,NZ"
hades-star.fandom.com,1562702,"US,NL,CA,AU,NZ"
cancelled-movies.fandom.com,1607902,"US,NL,CA,AU,NZ"
park-of-monster.fandom.com,1953354,"US,NL,CA,AU,NZ"
jakeandtheneverlandpirates.fandom.com,218100,"US,NL,CA,AU,NZ"
papermario.fandom.com,4843,"US,NL,CA,AU,NZ"
legends-of-speed.fandom.com,2009364,"US,NL,CA,AU,NZ"
needforspeed.fandom.com,715122,"US,NL,CA,AU,NZ"
rio.fandom.com,119785,"US,NL,CA,AU,NZ"
lost.fandom.com,847,"US,NL,CA,AU,NZ"
assassinscreed.fandom.com,82666,"US,NL,CA,AU,NZ"
movie-monster.fandom.com,1710718,"US,NL,CA,AU,NZ"
frozen.fandom.com,851598,"US,NL,CA,AU,NZ"
stand-my-hero.fandom.com,1456438,"US,NL,CA,AU,NZ"
ffxiv.fandom.com,809716,"US,NL,CA,AU,NZ"
carriemovies.fandom.com,737210,"US,NL,CA,AU,NZ"
wanderoveryonder.fandom.com,720092,"US,NL,CA,AU,NZ"
elfen-lied.fandom.com,9764,"US,NL,CA,AU,NZ"
mybabysittersavampire.fandom.com,283651,"US,NL,CA,AU,NZ"
annex.fandom.com,3259,"US,NL,CA,AU,NZ"
philippinetelevision.fandom.com,175864,"US,NL,CA,AU,NZ"
yugioh-arcv.fandom.com,888416,"US,NL,CA,AU,NZ"
sofia.fandom.com,626268,"US,NL,CA,AU,NZ"
lifetime-little-women.fandom.com,1553252,"US,NL,CA,AU,NZ"
