wikiDomain,wikiId,wgWatchShowButtonLabel,wgWatchShowButtonLabelCA,wgWatchShowButtonLabelMobile,wgWatchShowButtonLabelMobileCA,wgWatchShowCTA,wgWatchShowCTACA,wgWatchShowCTAMobile,wgWatchShowCTAMobileCA,wgWatchShowImageURLMobile,wgWatchShowImageURLMobileDarkTheme,wgWatchShowURL,wgWatchShowURLMobile,wgWatchShowURLMobileAndroid,wgWatchShowImageURL,wgWatchShowTrackingPixelURL,wgWatchShowGeos,wgWatchShowTrackingLabel,wgWatchShowEnabledDate,wgAffiliateUnitEnabledDate
keiko-test.fandom.com,1081891,Start Your Free Trial (Button),Try Now (Button CA),Start Your Free Trial (Button Mobile),Try Now (Button Mobile CA),Stream the best stories. (CTA),Get Disney+ (CTA CA),Stream the best stories. All in one place. (CTA Mobile),Get Disney+ (CTA Mobile CA),https://static.wikia.nocookie.net/274624f0-64b8-42b8-8f5d-1b0f0529c3bb,https://static.wikia.nocookie.net/1d8d22a4-207e-47eb-991e-2d1a1c37f1cf,https://disneyplus.bn5x.net/DrrRa,https://disneyplus.bn5x.net/DrrRa,https://disneyplus.bn5x.net/DrrRa,https://static.wikia.nocookie.net/274624f0-64b8-42b8-8f5d-1b0f0529c3bb,,"US,NL,CA",disney,2019-11-01T14:00:00Z,2019-11-01T14:00:00Z
starwars.fandom.com (mobile + desktop),147,Start Your Free Trial,Try Now,Start Your Free Trial,Try Now,Stream the best stories.,Get Disney+,Stream the best stories. All in one place.,Get Disney+,https://static.wikia.nocookie.net/274624f0-64b8-42b8-8f5d-1b0f0529c3bb,https://static.wikia.nocookie.net/1d8d22a4-207e-47eb-991e-2d1a1c37f1cf,https://disneyplus.bn5x.net/333RX,https://disneyplus.bn5x.net/333RX,https://disneyplus.bn5x.net/333RX,https://static.wikia.nocookie.net/274624f0-64b8-42b8-8f5d-1b0f0529c3bb,,"US,NL,CA",disney,2019-11-12T14:00:00Z,2019-11-12T14:00:00Z
disney.fandom.com (mobile + desktop),374,Start Your Free Trial,Try Now,Start Your Free Trial,Try Now,Stream the best stories.,Get Disney+,Stream the best stories. All in one place.,Get Disney+,https://static.wikia.nocookie.net/274624f0-64b8-42b8-8f5d-1b0f0529c3bb,https://static.wikia.nocookie.net/1d8d22a4-207e-47eb-991e-2d1a1c37f1cf,https://disneyplus.bn5x.net/DrrRa,https://disneyplus.bn5x.net/DrrRa,https://disneyplus.bn5x.net/DrrRa,https://static.wikia.nocookie.net/274624f0-64b8-42b8-8f5d-1b0f0529c3bb,,"US,NL,CA",disney,2019-11-12T14:00:00Z,2019-11-12T14:00:00Z
marvel.fandom.com (mobile + desktop),2233,Start Your Free Trial,Try Now,Start Your Free Trial,Try Now,Stream the best stories.,Get Disney+,Stream the best stories. All in one place.,Get Disney+,https://static.wikia.nocookie.net/274624f0-64b8-42b8-8f5d-1b0f0529c3bb,https://static.wikia.nocookie.net/1d8d22a4-207e-47eb-991e-2d1a1c37f1cf,https://disneyplus.bn5x.net/beeqP,https://disneyplus.bn5x.net/beeqP,https://disneyplus.bn5x.net/beeqP,https://static.wikia.nocookie.net/274624f0-64b8-42b8-8f5d-1b0f0529c3bb,,"US,NL,CA",disney,2019-11-12T14:00:00Z,2019-11-12T14:00:00Z
simpsons.fandom.com (mobile + desktop),673,Start Your Free Trial,Try Now,Start Your Free Trial,Try Now,Stream the best stories.,Get Disney+,Stream the best stories. All in one place.,Get Disney+,https://static.wikia.nocookie.net/274624f0-64b8-42b8-8f5d-1b0f0529c3bb,https://static.wikia.nocookie.net/1d8d22a4-207e-47eb-991e-2d1a1c37f1cf,https://disneyplus.bn5x.net/DrrRa,https://disneyplus.bn5x.net/DrrRa,https://disneyplus.bn5x.net/DrrRa,https://static.wikia.nocookie.net/274624f0-64b8-42b8-8f5d-1b0f0529c3bb,,"US,NL,CA",disney,2019-11-12T14:00:00Z,2019-11-12T14:00:00Z
pixar.fandom.com (mobile + desktop),4097,Start Your Free Trial,Try Now,Start Your Free Trial,Try Now,Stream the best stories.,Get Disney+,Stream the best stories. All in one place.,Get Disney+,https://static.wikia.nocookie.net/274624f0-64b8-42b8-8f5d-1b0f0529c3bb,https://static.wikia.nocookie.net/1d8d22a4-207e-47eb-991e-2d1a1c37f1cf,https://disneyplus.bn5x.net/NVVXv,https://disneyplus.bn5x.net/NVVXv,https://disneyplus.bn5x.net/NVVXv,https://static.wikia.nocookie.net/274624f0-64b8-42b8-8f5d-1b0f0529c3bb,,"US,NL,CA",disney,2019-11-12T14:00:00Z,2019-11-12T14:00:00Z
marvelcinematicuniverse.fandom.com,177996,,,Start Your Free Trial,Try Now,,,Stream the best stories. All in one place.,Get Disney+,https://static.wikia.nocookie.net/274624f0-64b8-42b8-8f5d-1b0f0529c3bb,https://static.wikia.nocookie.net/1d8d22a4-207e-47eb-991e-2d1a1c37f1cf,https://disneyplus.bn5x.net/beeqP,https://disneyplus.bn5x.net/beeqP,https://disneyplus.bn5x.net/beeqP,https://static.wikia.nocookie.net/274624f0-64b8-42b8-8f5d-1b0f0529c3bb,,"US,NL,CA",disney,2019-11-12T14:00:00Z,2019-11-12T14:00:00Z
muppet.fandom.com,831,,,Start Your Free Trial,Try Now,,,Stream the best stories. All in one place.,Get Disney+,https://static.wikia.nocookie.net/274624f0-64b8-42b8-8f5d-1b0f0529c3bb,https://static.wikia.nocookie.net/1d8d22a4-207e-47eb-991e-2d1a1c37f1cf,https://disneyplus.bn5x.net/DrrRa,https://disneyplus.bn5x.net/DrrRa,https://disneyplus.bn5x.net/DrrRa,https://static.wikia.nocookie.net/274624f0-64b8-42b8-8f5d-1b0f0529c3bb,,"US,NL,CA",disney,2019-11-12T14:00:00Z,2019-11-12T14:00:00Z
hero.fandom.com,20780,,,Start Your Free Trial,Try Now,,,Stream the best stories. All in one place.,Get Disney+,https://static.wikia.nocookie.net/274624f0-64b8-42b8-8f5d-1b0f0529c3bb,https://static.wikia.nocookie.net/1d8d22a4-207e-47eb-991e-2d1a1c37f1cf,https://disneyplus.bn5x.net/DrrRa,https://disneyplus.bn5x.net/DrrRa,https://disneyplus.bn5x.net/DrrRa,https://static.wikia.nocookie.net/274624f0-64b8-42b8-8f5d-1b0f0529c3bb,,"US,NL,CA",disney,2019-11-12T14:00:00Z,2019-11-12T14:00:00Z
assassinscreed.fandom.com,3510,,,Start Your Free Trial,Try Now,,,Stream the best stories. All in one place.,Get Disney+,https://static.wikia.nocookie.net/274624f0-64b8-42b8-8f5d-1b0f0529c3bb,https://static.wikia.nocookie.net/1d8d22a4-207e-47eb-991e-2d1a1c37f1cf,https://disneyplus.bn5x.net/DrrRa,https://disneyplus.bn5x.net/DrrRa,https://disneyplus.bn5x.net/DrrRa,https://static.wikia.nocookie.net/274624f0-64b8-42b8-8f5d-1b0f0529c3bb,,"US,NL,CA",disney,2019-11-12T14:00:00Z,2019-11-12T14:00:00Z
